Title,Plot
Mayalodu,"Veerababu (Rajendra Prasad) is a roadside magician along with his friend Pandu (Gundu Hanumanthu Rao) performs on the roads and earn his living. Once while doing such show he comes across a cute little girl Puppy (Baby Nikitha). Veerababu tries to ask her details so that he can drop her back to her home. But he comes to know that Puppy's uncle Appalakonda (Kota Srinivas Rao) had killed her parents for property and is trying to kill her. Veerababu takes her home for safety. But unfortunately due to an accident Puppy loses her eyesight. Veerababu tries hard to collect the money for Puppy's treatment and saves the money with Padmanabham who is the father of Siri (Soundarya) who is in deep love with Veerababu. When Vaarababu asks Padmanabham to give back his money, he refuses and warns him to stay away from his daughter. Veerababu ties him up to his own chair and takes away his money. Noticing all this Appalakonda kills Padmanabham so that he can take away the rest of the money and can blame the murder on Veerababu. Even Siri believes that Veerababu is the person responsible for her father's murder. Check out the movie Mayalodu to know how Veerababu saves himself from the false accuser and how funnily does he use his magic tricks."
Dikari,"The opening sequence has Tinto Brass licking his lips, as the camera follows a pair of youths along a secluded beach strewn with lovemaking couples and naked girls. The south depicted here is heavily clouded by nostalgia: It is the paradise of a middle-age man remembering his youth, which was peopled by quirky friends and bare-breasted women, and free of any old people. Yuriy ""Gosha"" Kutsenko leads a cast of mostly young but already very popular actors, most of whom are clad in cargo shorts or camouflage gear. Kutsenko plays Aye-Aye, who comes to the Crimea every summer to meet old friends in the hope that it will return his lust for life. Lots of things happen on the beach, from wild love to tender friendship. The movie is funny, romantic, and nostalgic. The beach way."
En Rathathin Rathame,"A group of royal family people are very much disappointed by the amendment of democratic India where there no more kingdoms and kings shall exist. They follow 26 January as a black day as the democratic republic was formed against kingdoms. To get back the provinces and monarchy rule back to them, all take owe with Narendra Bhupathy a physically challenged King and his son Ilayaraja Bhupathy as their leaders. They support anti-social elements from foreign nations for getting weapons from them to create chaos in the country. Natesan (K. Bhagyaraj) is a poor auto-rickshaw driver who takes care of orphan children at his home. He manages to feed and educate the children with the meagre amount he earns and does not accept any kind of help from anybody. Meenakshi is a press reporter for a magazine named 'Bakirangam' which has a very poor circulation. To improve its flow, the magazine's Editor (Janagaraj)) insists her to interview a rapist who is capable of describing a rape point by point. Meenakshi scares to do the assignment but accepts as she has no other go. Natesan visits 'Bakirangam' office to advertise for rental home and he is diverted to Meenakshi's cabin. Meenakshi misunderstands him to be the rapist and scares for whatever he looks and does and at once stage she shouts for help. Angried Natesan explains who he is and why he has come and Meenakshi apologises for her misunderstanding. Meenakshi asks his home for rent but demands that no children to be present as it is big disturbance for her work in the house where she is staying. Natesan lies to her that no children is present in the house as he needs a tenant immediately for the rent due to his financial situation. Meenakshi visits the house and gets irritated on the mess inside the place but Natesan manages to grab advance amount from her. Meenakshi finds there are lot of children in the home and demands him the money she gave. But Natasen says since he did not give receipt for the amount she gave as advance, she cannot claim her money back and because of this she stays unwillingly in that house. Meenakshi is irritated by the children and at one stage she punishes them for their mischief. She shouts at Natesan for the children's act and demands that no one should enter her room. All the children apologize to her for their acts which breaks her heart. She understands that it is the nature of children to be mischief and becomes their friend. She also understands how Natesan takes care of them despite his poor condition. Meanwhile, Natesan returns her advance amount by mortgaging his auto-rickshaw and asks her to vacate the house. But Meenakshi and the children manage to change his mind and let her stay. Except for the small fights both Natesan and Meenakshi are attracted towards each other. Natesan is frequently visited by an old 'Mental' like looking old man who demands money from Natesan most of the time with any reason. Natesan is irritated by his acts and yet he supports him with the money. The old man is actually a scientist who has invented many things. Natesan gets angry that old man cheated him once and visits his home and surprised to see all inventions. The old man explains that he is inventing a machine which makes people invisible. He also shows him a receiver which can receive abnormal frequencies powerful enough to intrude Indian defence. Natesan hears an intrusion that a famous scientist shall be killed by some people. So he rushes to police station to warn them. The scientist is saved because of his warning. Hence he earns enmity of Raja Bhupathy as he is behind the master plan of killing the scientist. Bhupathy's men sets off to find the receiver in Natesan's house and find that the receiver is with the old man. The old scientist finally invents 'invisible' making machine. But he is killed by Bhupathy's men. Before dying he handovers the machine to Natesan and tells him to fight for justice in the country with this. Natesan and one of his child test the machine and sees it work. Hence Natesan uses the machine and becomes invisible. He once saves Meenakshi from Bhupathy's men when she tried to find their truth and got trapped. The invisible man introduces himself as 'Vaathiyaar' (nickname of Thiru M.G.R.) who has come back to world to fight justice. Soon Natesan gains fame as invisible Vaathiyaar due to his good deeds for society. Since he does good things and does not trouble public and government, police does not arrest him. The child who is the only person to know about Natesan's invisibility finds that the invisible man can be seen through 'Red' colour and he wears red glasses. Meenakshi is very proud that she is friend of 'Vaathiyaar' and tells everybody she is his pet. This irritates Natesan and once nose-cuts her in front of everybody to teach her a lesson. Natesan's inferiority complex prevents him to propose his love for Meenakshi and he expresses his love to her as 'Vaathiyaar' hoping that she would love the hero. But Meenakshi rejects his proposal as she reveals that she loves a poor auto driver who is gentle man and tells Invisible Man to go out of her life. Natesan reveals his secret to her and is very happy to have won her love. Bhupathys find that invisible man is the auto-driver who spoiled all their plans. Hence they spoil his name by troubling people and tells people that they are allies of 'Mayaavi' (magic man). Hence Maayavi now becomes villain for people. Bhupathy blackmails Natesan to give the invisible machine else all his children shall be killed. They also kill one of the child as he refused to handover. Hence the child who knows about invisible man gives the machine to Bhupathy. Now Ilayaraja Bhupathy becomes invisible and starts to loot money from people, performs larcenies in banks and threatens all people. Narendra Bhupathy demands the rule of Tamil Nadu state under him else he would kill people in number of 1500s until government is handed over and kills 3000 people in school and train to realise the seriousness. Fearing on his acts, governor agrees to handover the state to him but actually at behind police plan to arrest Bhupathys and get back the state from their threat. Natesan finds about everything and sets off to save the city from Bhupathy. He tells policemen about his plan and enters the place as a TV cameraman where 'Oath of Office' ceremony by senior Bhupathy take place. He uses red filter to capture junior Bhupathy and attacks him. But he cannot withstand as camera breaks in the chaos created by Bhupathy. Meenkashi uses a giant light used by a circus and covers with red color dress and junior Bhupathy who is invisible is now clearly visible to everyone. Natesan manages to escape from both Bhupathys when both of them tried to kill him instead killed one another. In the incident the invisible machine breaks. Natesan concludes that any invention which can be misused against people should not welcomed and let it break. Meenakshi and Natesan finally marry."
Vipra Narayana,"A staunch devotee of Lord Ranganatha, Viparanarayana (Akkineni Nageswara Rao) lives, along with his disciple Rangaraju (Relangi), in an ashram on the banks of the Cauvery at Srirangam. Devadevi (Bhanumathi Ramakrishna), a devadasi, after performing a dance recital at the Chola King's (V. Sivaram) court on her way back along with her elder sister Madhuravani (Sandhya), passes through the ashram. When Viparanarayana does not even throw a glance at her, Devadevi’s vanity is hurt and she vows to entice him with her charm. She enters the ashram making Vipranarayana believe her sorrowful story. Very soon Vipranarayana surrenders to her charm. Once her ego is satisfied, Devadevi begins to regret her act. She leaves for her home and Vipranarayana follows her, but Devadevi’s mother (Rushyendramani) drives him out. Unable to see His devotee’s plight, Lord Ranganatha (R. Nageswara Rao) assumes the form of Rangaraju and gives a golden vessel to Rangasani, saying that it has been sent by Vipranarayana. Soon it comes to light that the vessel has been stolen from the temple. The Chola King orders the hands of Vipranarayana to be amputated as a punishment. Finally, the Lord appears and reveals the truth, saying that Vipranarayana is none else than the human form of Vyjayanthi, the garland that adorns Him and Devadevi is a Gandharva Kanya. Vipranarayana assumes his real form and adorns the Lord."
Designing Woman,"In California covering a golf tournament, New York sports reporter Mike Hagen (Gregory Peck) correctly chooses the winning golfer in the reporters' betting pool. With the $1200 he won, Mike begins buying drinks. The next morning he awakes with no memory of the night before. Hung over and believing that he failed to file his story, Mike sits beside the hotel pool drinking coffee. When an unfamiliar woman, Marilla Brown (Lauren Bacall), approaches him, Mike, through a series of misunderstandings, assumes she is a prostitute. As Marilla heatedly begins to correct him, he receives a call from his editor telling him he had received Mike's story, but that a corrupt boxing promoter was threatening Mike. Ending the call, Mike returns to Marilla who explains that she had helped him write his story. This begins a whirlwind eight day romance which ends with marriage. Only on the flight back to New York does Mike begin to discover that Marilla had hidden the details of her job, wealth and family connections in order to land Mike. This quickly causes friction. Mike is a sportswriter and poker enthusiast with working-class friends. Marilla designs clothes for a wide array of artistic personalities. Their friends clash memorably one Wednesday night when his Poker Club and her Drama Society both convene at Marilla's apartment. Marilla becomes suspicious of Mike after she finds a photograph of Lori Shannon (Dolores Gray), Mike's former girlfriend. Mike tries to hide his former relationship, but fails miserably. Complicating matters even further is Mike's continuing series of exposés of the activities of crooked boxing promoter Martin Daylor (Edward Platt). Mike's life is in danger, but he hides that from his wife as well. What results is a series of misunderstandings and mishaps."
Na Ghar Ke Na Ghaat Ke,"Devki Nandan Tripathi (director Rahul Aggarwal) is a simple, rustic man who tries his luck in the city of dreams, Mumbai. He gets himself employed at the Mausam Vibhaag, his only means to a lucrative and thriving future. The plot thickens and so do Devki’s circumstances, for he pursues something that he had never meant to. He finds himself doing everything except dedicating time to his vocation. He comes across an array of city people who often find his innocence amusing and comical, but Devki realises that they stick with him even in the thickest of bogs that his life hauls him in. From the village folk to the corrupt cop to the impish goon, Devki finds himself cared for and aided even while he feels entrenched in a Na Ghar Ke Na Ghaat Ke state of affairs. The film depicts the everyday struggle of common man in a ‘rural meets urban’ set-up. Director Aggarwal plays the lead opposite Narayani Shastri, while one meets iconic characters played by Om Puri, Paresh Rawal, Ravi Kishan and Neena Gupta."
The Secret of the Whistler,"Ralph Harrison (Richard Dix) is married to Edith (Mary Currier), a rich woman who has been suffering heart attacks. Upset by her condition, he finds consoling companionship with an artist’s model, the unscrupulous gold-digger Kay (Leslie Brooks). He falls in love with Kay. Edith's health then improves. Edith overhears Ralph professing his love for Kay. Edith threatens Ralph, saying she’s going to take him out of her will. He decides to poison her, with her own medicine, before she can meet with her lawyers. After Edith dies, Ralph marries Kay, who becomes suspicious of how Edith died and worried for her own fate. Finding incriminating diary pages and the medicine, she has the medicine analyzed, discovering that it was poisoned. Ralph overhears the phone conversation with the lab. Pretending to embrace her, he strangles Kay to death, just as the police arrive and arrest him for murder — a murder he didn’t need to commit because Edith hadn’t taken the poisoned medicine after all, but died of a heart attack, before she could take it."
Little Darlings,"A group of teenage girls from Atlanta go to summer camp, and, unbeknownst to the adults, two of them make a bet as to which one will lose her virginity first, with all the girls in camp betting money on the contest. The girls involved in the contest are opposites and rivals: cynical, suspicious and streetwise poor girl Angel Bright, and naive, prissy and romantic rich girl Ferris Whitney. They rest of the girls divide into two ""teams"", each rooting for and egging on either Ferris or Angel. The two girls then choose ""targets"", or guys they want to be the ones they lose their virginity with. Both girls discover that sex is not what they thought it would be. At the same time, the girls engage in typical teenage behavior, such as food fights and other activities. Ferris thinks of love as romance and wine and flowers. She imagines herself swept off her feet by Gary, the camp counselor. When she lies about ""making love"" with him, the biological side manifests itself in others' reactions to what she said she did. She discovers that, at least in the context of a camp counselor having sex with a fifteen-year-old, sex can be hurtful and its consequences ugly. Her attitude is now more grounded in reality; she has become more like street-wise Angel. Angel approaches the same issue from the other side. She views winning the contest as a mechanical, purely biological function, ""no big deal"" as her mother has told her. But when she tries to do ""it"" with Randy in the boathouse, she becomes confused by feelings she did not know she had. She behaves very defensively, as if Randy is trying to force her to have sex. Randy, who could take it or leave it, is put off by her recalcitrance and leaves. She then must admit to herself that sex is not a mechanical function she can cynically turn on and off, but is something she deeply wants to do. Angel reconnects with Randy later with a much improved attitude, one closer to Ferris'. This time she pays attention not to clothing removal procedures and condoms, but to her feelings for Randy and proceeds to lose her virginity with him. In the end, Ferris discovers that love involves sex, which is not always romantic, and Angel discovers that sex involves love, which deeply touches her and transforms her soul. They both grow up that summer."
White Of The Eye,"A series of murders of rich young women throughout the area of Globe, Arizona bear the distinctive signature of a serial killer. Clues lead Detective Charles Mendoza to visit Paul White, a sound expert installing hi-fi systems in wealthy people's homes. His special talent is to make a noise which echoes through the air cavities in his head and shows him where the sound of the speakers should come from and echo in the room. He is married to Joan, whom, ten years earlier, he had seduced away from Mike DeSantos, who was her then boyfriend. Joan and Paul have a daughter, Danielle, together. Paul, installing equipment at Dr. Sutter's home, proximal to the most-recent murder, is approached by Detective Mendoza-- they have a cordial conversation about sound equipment, but it turns abruptly, when Mendoza asks Paul if he still hunts. Mendoza questions Paul about whether he knew the victim, and then asks him about the tires on his van-- a tread pattern that has been located at the scene of the murder. Mendoza meets with his partner Phil at the police station, where Phil has gathered criminal record information on Paul-- they speculate on what kind of person he might be based on that information. Mendoza, working from photos of the crime scene, begins to identify some aspects of the killer's M/O. Paul visits Fred, proprietor of the local diner-- Fred mentions that Ann Mason has been asking after Paul, ostensibly to work on her satellite system. Various flashbacks show Joan's previous relationship to Mike, traveling across the country from New York in Mike's van, heading for Malibu. It later explains how it came to be that they parted ways. The couple met Paul, whom Mike befriended. At Mike's suggestion, he and Mike go on a deer hunting trip together. Paul shoots a deer and then brutally mutilates it, winding up with blood all over his face, revealing a disturbing, frightening, and incongruous aspect to his personality. Mike catches Joan and Paul having sex. Mike puts a gun to the back of Paul's head but relents and winds up firing the gun over Paul's head, and he leaves. In the present-day, Joan, on her way to Stope's Creek, stops in a gas station asking for directions. She asks for a restroom, and as she's walking around the building, hears a voice singing a familiar song. It's Mike DeSantos, a decade older. They sit and catch up, with Mike eating from a jar of homemade peanut butter. Mike mentions that he's been in prison (though doesn't say why), and mentions that he received a serious head injury-- and also that that head injury seems to have given him the ability to see the past and the future. He emphatically asks Joan to promise not to tell Paul that she has seen him. Joan soon soon suspects that Paul is having an affair with local married socialite Ann Mason. She finds his truck behind her house. She stabs his tires flat, which winds up providing him with an alibi for the most-recent murder. He begs her forgiveness as the police turn their suspicions away from him. At home, Joan, distraught, runs to the bathroom to vomit and, somehow, notices something odd about the inlaid soap-dish on the raised bathtub. She pries the inlay loose and looks inside, and sees something strange: plastic bags with mysterious shapes inside-- body parts? Joan confronts Paul, and Paul, casually, tries to explain his motivations for killing. He believes he has been ""chosen"" and is expressing the nothingness of the universe, whose heart is female and destructive like a black hole. He is putting women ""out of their misery,"" but he loves Joan. Joan's distrust of Paul over the next night and day agitates him into a fury. First, he locks her up in a portion of the attic, and then he wraps himself in a suicide vest of high-explosives and paints his face in a form reminiscent of both Kabuki and the blood pattern of diving headfirst into a deer carcass, as seen in the flashbacks to Paul and Mike's hunting trip. Increasingly unhinged, Paul chases his daughter up through the attic, and minutes after accusing Joan of thinking that he'd ""hurt my own kid,"" attempts target practice of her fleeing form, missing Danielle, but killing their dog Shasta. Joan and the little girl escape in different directions and soon Joan has to elude Paul in the abandoned quarry. It turns out Mike has been staying there, armed with a machine gun, certain that he will meet Paul again. He rescues Joan and takes away Paul's gun, leading him to the edge of the quarry. Paul makes the sound he uses in the emptiness of living rooms and savors its echo from the quarry. While incessantly pontificating about his philosophies of life and death, Paul reveals a lighter with which he has lit the fuse of his explosive vest. Mike opens fire on him with a machine gun and Joan dives into the lake in the quarry. Paul and Mike both die instantly, in a hail of destruction. Joan is reunited later with her daughter. She talks with Detective Mendoza about what the ten years with Paul could have meant, whose destructive and nihilistic nature she never understood."
Mizhi Randilum,"Bhadra (Kavya Madhavan) is a nurse who is living with her widowed mother, grandmother and twin sister Bhama, a medical student. Her older brother Achuthankutty (Jagathy Sreekumar) is a politician. Bhadra falls in love with Arun (Indrajith), a doctor who works with her. Arun has a Muslim father and a Hindu mother who agrees to have Bhadra as their daughter in law, but Achuthankutty hates him because his father is a Muslim, causing Arun and Bhadra to break up. Meanwhile, Achuthankutty has troubles with a ruthless businessman and moneylender named Krishnakumar(Dileep) who forces Achuthankutty to sell the family house to him. Bhadra and Bhama are left to be taken care of by their sister-in-law. She meets Krishakumar's sister Sridevi who was paralyzed after the death of their parents. Bhadra was unaware that Krishakumar had a childhood crush on her. Bhadra's life takes a tragic turn when Arun commits suicide, and Bhadra goes into mental shock. Krishnakumar decides to take care of the traumatized Bhadra and later marry her. At the ending we see Bhadra telling Krishnakumar that she is pregnant."
